date,month,n_days,births,total_pop,country
1938-01-01,1,31,51820,41215000,England and Wales
1938-02-01,2,28,47421,41215000,England and Wales
1938-03-01,3,31,54887,41215000,England and Wales
1938-04-01,4,30,54623,41215000,England and Wales
1938-05-01,5,31,56853,41215000,England and Wales
1938-06-01,6,30,53145,41215000,England and Wales
1938-07-01,7,31,53214,41215000,England and Wales
1938-08-01,8,31,50444,41215000,England and Wales
1938-09-01,9,30,50545,41215000,England and Wales
1938-10-01,10,31,50079,41215000,England and Wales
1938-11-01,11,30,47850,41215000,England and Wales
1938-12-01,12,31,50323,41215000,England and Wales
1939-01-01,1,31,51350,41460000,England and Wales
1939-02-01,2,28,46990,41460000,England and Wales
1939-03-01,3,31,54389,41460000,England and Wales
1939-04-01,4,30,54127,41460000,England and Wales
1939-05-01,5,31,56337,41460000,England and Wales
1939-06-01,6,30,52662,41460000,England and Wales
1939-07-01,7,31,53515,41460000,England and Wales
1939-08-01,8,31,51338,41460000,England and Wales
1939-09-01,9,30,50605,41460000,England and Wales
1939-10-01,10,31,48832,41460000,England and Wales
1939-11-01,11,30,46025,41460000,England and Wales
1939-12-01,12,31,48309,41460000,England and Wales
1940-01-01,1,31,50281,39889000,England and Wales
1940-02-01,2,29,49846,39889000,England and Wales
1940-03-01,3,31,53583,39889000,England and Wales
1940-04-01,4,30,52340,39889000,England and Wales
1940-05-01,5,31,53100,39889000,England and Wales
1940-06-01,6,30,47749,39889000,England and Wales
1940-07-01,7,31,49459,39889000,England and Wales
1940-08-01,8,31,49217,39889000,England and Wales
1940-09-01,9,30,50516,39889000,England and Wales
1940-10-01,10,31,46133,39889000,England and Wales
1940-11-01,11,30,41560,39889000,England and Wales
1940-12-01,12,31,46336,39889000,England and Wales
1941-01-01,1,31,48889,38743000,England and Wales
1941-02-01,2,28,44708,38743000,England and Wales
1941-03-01,3,31,49406,38743000,England and Wales
1941-04-01,4,30,47833,38743000,England and Wales
1941-05-01,5,31,49550,38743000,England and Wales
1941-06-01,6,30,45697,38743000,England and Wales
1941-07-01,7,31,48318,38743000,England and Wales
1941-08-01,8,31,49417,38743000,England and Wales
1941-09-01,9,30,50570,38743000,England and Wales
1941-10-01,10,31,49172,38743000,England and Wales
1941-11-01,11,30,46158,38743000,England and Wales
1941-12-01,12,31,49373,38743000,England and Wales
1942-01-01,1,31,52070,38243000,England and Wales
1942-02-01,2,28,47451,38243000,England and Wales
1942-03-01,3,31,56797,38243000,England and Wales
1942-04-01,4,30,55007,38243000,England and Wales
1942-05-01,5,31,57159,38243000,England and Wales
1942-06-01,6,30,56144,38243000,England and Wales
1942-07-01,7,31,55708,38243000,England and Wales
1942-08-01,8,31,56110,38243000,England and Wales
1942-09-01,9,30,55022,38243000,England and Wales
1942-10-01,10,31,54607,38243000,England and Wales
1942-11-01,11,30,51024,38243000,England and Wales
1942-12-01,12,31,54404,38243000,England and Wales
1943-01-01,1,31,57651,37818000,England and Wales
1943-02-01,2,28,53214,37818000,England and Wales
1943-03-01,3,31,60988,37818000,England and Wales
1943-04-01,4,30,58983,37818000,England and Wales
1943-05-01,5,31,61399,37818000,England and Wales
1943-06-01,6,30,58522,37818000,England and Wales
1943-07-01,7,31,58980,37818000,England and Wales
1943-08-01,8,31,56260,37818000,England and Wales
1943-09-01,9,30,56175,37818000,England and Wales
1943-10-01,10,31,54456,37818000,England and Wales
1943-11-01,11,30,52170,37818000,England and Wales
1943-12-01,12,31,55536,37818000,England and Wales
1944-01-01,1,31,58313,37785000,England and Wales
1944-02-01,2,29,58489,37785000,England and Wales
1944-03-01,3,31,67038,37785000,England and Wales
1944-04-01,4,30,65352,37785000,England and Wales
1944-05-01,5,31,69333,37785000,England and Wales
1944-06-01,6,30,65863,37785000,England and Wales
1944-07-01,7,31,64874,37785000,England and Wales
1944-08-01,8,31,59118,37785000,England and Wales
1944-09-01,9,30,59721,37785000,England and Wales
1944-10-01,10,31,61197,37785000,England and Wales
1944-11-01,11,30,59073,37785000,England and Wales
1944-12-01,12,31,63107,37785000,England and Wales
1945-01-01,1,31,59360,37916000,England and Wales
1945-02-01,2,28,54940,37916000,England and Wales
1945-03-01,3,31,56745,37916000,England and Wales
1945-04-01,4,30,56117,37916000,England and Wales
1945-05-01,5,31,61374,37916000,England and Wales
1945-06-01,6,30,57477,37916000,England and Wales
1945-07-01,7,31,57868,37916000,England and Wales
1945-08-01,8,31,56381,37916000,England and Wales
1945-09-01,9,30,55232,37916000,England and Wales
1945-10-01,10,31,54685,37916000,England and Wales
1945-11-01,11,30,53416,37916000,England and Wales
1945-12-01,12,31,56342,37916000,England and Wales
1946-01-01,1,31,58169,40759000,England and Wales
1946-02-01,2,28,56070,40759000,England and Wales
1946-03-01,3,31,65627,40759000,England and Wales
1946-04-01,4,30,64677,40759000,England and Wales
1946-05-01,5,31,70820,40759000,England and Wales
1946-06-01,6,30,68031,40759000,England and Wales
1946-07-01,7,31,70002,40759000,England and Wales
1946-08-01,8,31,70967,40759000,England and Wales
1946-09-01,9,30,73256,40759000,England and Wales
1946-10-01,10,31,72373,40759000,England and Wales
1946-11-01,11,30,72382,40759000,England and Wales
1946-12-01,12,31,78345,40759000,England and Wales
1947-01-01,1,31,82913,41786000,England and Wales
1947-02-01,2,28,73693,41786000,England and Wales
1947-03-01,3,31,83021,41786000,England and Wales
1947-04-01,4,30,78503,41786000,England and Wales
1947-05-01,5,31,80328,41786000,England and Wales
1947-06-01,6,30,75036,41786000,England and Wales
1947-07-01,7,31,74827,41786000,England and Wales
1947-08-01,8,31,70057,41786000,England and Wales
1947-09-01,9,30,69424,41786000,England and Wales
1947-10-01,10,31,65722,41786000,England and Wales
1947-11-01,11,30,62236,41786000,England and Wales
1947-12-01,12,31,65266,41786000,England and Wales
1948-01-01,1,31,68402,43296000,England and Wales
1948-02-01,2,29,64770,43296000,England and Wales
1948-03-01,3,31,69651,43296000,England and Wales
1948-04-01,4,30,67655,43296000,England and Wales
1948-05-01,5,31,68494,43296000,England and Wales
1948-06-01,6,30,64801,43296000,England and Wales
1948-07-01,7,31,67013,43296000,England and Wales
1948-08-01,8,31,62560,43296000,England and Wales
1948-09-01,9,30,62151,43296000,England and Wales
1948-10-01,10,31,60968,43296000,England and Wales
1948-11-01,11,30,57752,43296000,England and Wales
1948-12-01,12,31,61089,43296000,England and Wales
1949-01-01,1,31,61498,43595000,England and Wales
1949-02-01,2,28,58520,43595000,England and Wales
1949-03-01,3,31,66210,43595000,England and Wales
1949-04-01,4,30,64640,43595000,England and Wales
1949-05-01,5,31,65630,43595000,England and Wales
1949-06-01,6,30,62698,43595000,England and Wales
1949-07-01,7,31,61931,43595000,England and Wales
1949-08-01,8,31,60275,43595000,England and Wales
1949-09-01,9,30,60014,43595000,England and Wales
1949-10-01,10,31,58600,43595000,England and Wales
1949-11-01,11,30,54758,43595000,England and Wales
1949-12-01,12,31,55744,43595000,England and Wales
1950-01-01,1,31,60573,43830000,England and Wales
1950-02-01,2,28,55865,43830000,England and Wales
1950-03-01,3,31,64336,43830000,England and Wales
1950-04-01,4,30,61039,43830000,England and Wales
1950-05-01,5,31,62184,43830000,England and Wales
1950-06-01,6,30,58886,43830000,England and Wales
1950-07-01,7,31,57270,43830000,England and Wales
1950-08-01,8,31,56771,43830000,England and Wales
1950-09-01,9,30,57333,43830000,England and Wales
1950-10-01,10,31,55621,43830000,England and Wales
1950-11-01,11,30,52406,43830000,England and Wales
1950-12-01,12,31,54813,43830000,England and Wales
1951-01-01,1,31,57740,43815000,England and Wales
1951-02-01,2,28,54162,43815000,England and Wales
1951-03-01,3,31,61973,43815000,England and Wales
1951-04-01,4,30,59985,43815000,England and Wales
1951-05-01,5,31,62473,43815000,England and Wales
1951-06-01,6,30,58883,43815000,England and Wales
1951-07-01,7,31,58418,43815000,England and Wales
1951-08-01,8,31,55557,43815000,England and Wales
1951-09-01,9,30,54076,43815000,England and Wales
1951-10-01,10,31,51253,43815000,England and Wales
1951-11-01,11,30,49089,43815000,England and Wales
1951-12-01,12,31,53920,43815000,England and Wales
1952-01-01,1,31,56455,43955000,England and Wales
1952-02-01,2,29,55225,43955000,England and Wales
1952-03-01,3,31,60640,43955000,England and Wales
1952-04-01,4,30,58774,43955000,England and Wales
1952-05-01,5,31,60061,43955000,England and Wales
1952-06-01,6,30,55727,43955000,England and Wales
1952-07-01,7,31,57162,43955000,England and Wales
1952-08-01,8,31,55561,43955000,England and Wales
1952-09-01,9,30,55492,43955000,England and Wales
1952-10-01,10,31,54215,43955000,England and Wales
1952-11-01,11,30,50918,43955000,England and Wales
1952-12-01,12,31,53505,43955000,England and Wales
1953-01-01,1,31,56247,44109000,England and Wales
1953-02-01,2,28,53585,44109000,England and Wales
1953-03-01,3,31,61624,44109000,England and Wales
1953-04-01,4,30,59169,44109000,England and Wales
1953-05-01,5,31,62576,44109000,England and Wales
1953-06-01,6,30,59703,44109000,England and Wales
1953-07-01,7,31,59559,44109000,England and Wales
1953-08-01,8,31,56801,44109000,England and Wales
1953-09-01,9,30,56557,44109000,England and Wales
1953-10-01,10,31,54128,44109000,England and Wales
1953-11-01,11,30,50611,44109000,England and Wales
1953-12-01,12,31,53812,44109000,England and Wales
1954-01-01,1,31,57157,44274000,England and Wales
1954-02-01,2,28,54560,44274000,England and Wales
1954-03-01,3,31,60983,44274000,England and Wales
1954-04-01,4,30,58119,44274000,England and Wales
1954-05-01,5,31,61714,44274000,England and Wales
1954-06-01,6,30,56793,44274000,England and Wales
1954-07-01,7,31,57378,44274000,England and Wales
1954-08-01,8,31,54593,44274000,England and Wales
1954-09-01,9,30,54468,44274000,England and Wales
1954-10-01,10,31,54044,44274000,England and Wales
1954-11-01,11,30,50853,44274000,England and Wales
1954-12-01,12,31,52989,44274000,England and Wales
1955-01-01,1,31,57350,44441000,England and Wales
1955-02-01,2,28,51423,44441000,England and Wales
1955-03-01,3,31,59609,44441000,England and Wales
1955-04-01,4,30,57234,44441000,England and Wales
1955-05-01,5,31,58848,44441000,England and Wales
1955-06-01,6,30,56401,44441000,England and Wales
1955-07-01,7,31,56967,44441000,England and Wales
1955-08-01,8,31,54543,44441000,England and Wales
1955-09-01,9,30,54160,44441000,England and Wales
1955-10-01,10,31,54030,44441000,England and Wales
1955-11-01,11,30,51661,44441000,England and Wales
1955-12-01,12,31,55585,44441000,England and Wales
1956-01-01,1,31,58609,44667000,England and Wales
1956-02-01,2,29,56280,44667000,England and Wales
1956-03-01,3,31,64004,44667000,England and Wales
1956-04-01,4,30,61223,44667000,England and Wales
1956-05-01,5,31,61848,44667000,England and Wales
1956-06-01,6,30,58304,44667000,England and Wales
1956-07-01,7,31,59528,44667000,England and Wales
1956-08-01,8,31,57446,44667000,England and Wales
1956-09-01,9,30,57471,44667000,England and Wales
1956-10-01,10,31,55906,44667000,England and Wales
1956-11-01,11,30,52860,44667000,England and Wales
1956-12-01,12,31,56856,44667000,England and Wales
1957-01-01,1,31,59926,44907000,England and Wales
1957-02-01,2,28,57163,44907000,England and Wales
1957-03-01,3,31,64705,44907000,England and Wales
1957-04-01,4,30,62090,44907000,England and Wales
1957-05-01,5,31,64676,44907000,England and Wales
1957-06-01,6,30,61031,44907000,England and Wales
1957-07-01,7,31,59956,44907000,England and Wales
1957-08-01,8,31,59229,44907000,England and Wales
1957-09-01,9,30,59927,44907000,England and Wales
1957-10-01,10,31,60580,44907000,England and Wales
1957-11-01,11,30,55373,44907000,England and Wales
1957-12-01,12,31,58725,44907000,England and Wales
1958-01-01,1,31,62983,45109000,England and Wales
1958-02-01,2,28,58526,45109000,England and Wales
1958-03-01,3,31,68433,45109000,England and Wales
1958-04-01,4,30,63847,45109000,England and Wales
1958-05-01,5,31,65538,45109000,England and Wales
1958-06-01,6,30,59634,45109000,England and Wales
1958-07-01,7,31,59026,45109000,England and Wales
1958-08-01,8,31,59795,45109000,England and Wales
1958-09-01,9,30,61445,45109000,England and Wales
1958-10-01,10,31,61366,45109000,England and Wales
1958-11-01,11,30,58409,45109000,England and Wales
1958-12-01,12,31,61713,45109000,England and Wales
1959-01-01,1,31,64444,45386000,England and Wales
1959-02-01,2,28,60401,45386000,England and Wales
1959-03-01,3,31,68357,45386000,England and Wales
1959-04-01,4,30,64914,45386000,England and Wales
1959-05-01,5,31,66795,45386000,England and Wales
1959-06-01,6,30,62394,45386000,England and Wales
1959-07-01,7,31,63715,45386000,England and Wales
1959-08-01,8,31,61087,45386000,England and Wales
1959-09-01,9,30,60882,45386000,England and Wales
1959-10-01,10,31,60826,45386000,England and Wales
1959-11-01,11,30,55518,45386000,England and Wales
1959-12-01,12,31,59168,45386000,England and Wales
1960-01-01,1,31,63225,45775000,England and Wales
1960-02-01,2,29,64364,45775000,England and Wales
1960-03-01,3,31,70025,45775000,England and Wales
1960-04-01,4,30,65701,45775000,England and Wales
1960-05-01,5,31,69354,45775000,England and Wales
1960-06-01,6,30,65319,45775000,England and Wales
1960-07-01,7,31,66817,45775000,England and Wales
1960-08-01,8,31,64500,45775000,England and Wales
1960-09-01,9,30,65357,45775000,England and Wales
1960-10-01,10,31,64873,45775000,England and Wales
1960-11-01,11,30,61593,45775000,England and Wales
1960-12-01,12,31,63877,45775000,England and Wales
1961-01-01,1,31,67748,46196200,England and Wales
1961-02-01,2,28,62559,46196200,England and Wales
1961-03-01,3,31,72999,46196200,England and Wales
1961-04-01,4,30,69102,46196200,England and Wales
1961-05-01,5,31,70910,46196200,England and Wales
1961-06-01,6,30,67528,46196200,England and Wales
1961-07-01,7,31,68869,46196200,England and Wales
1961-08-01,8,31,68035,46196200,England and Wales
1961-09-01,9,30,67163,46196200,England and Wales
1961-10-01,10,31,66735,46196200,England and Wales
1961-11-01,11,30,62274,46196200,England and Wales
1961-12-01,12,31,67359,46196200,England and Wales
1962-01-01,1,31,69927,46657300,England and Wales
1962-02-01,2,28,66353,46657300,England and Wales
1962-03-01,3,31,77310,46657300,England and Wales
1962-04-01,4,30,71324,46657300,England and Wales
1962-05-01,5,31,75285,46657300,England and Wales
1962-06-01,6,30,70305,46657300,England and Wales
1962-07-01,7,31,70629,46657300,England and Wales
1962-08-01,8,31,70246,46657300,England and Wales
1962-09-01,9,30,68096,46657300,England and Wales
1962-10-01,10,31,67092,46657300,England and Wales
1962-11-01,11,30,64692,46657300,England and Wales
1962-12-01,12,31,67477,46657300,England and Wales
1963-01-01,1,31,72576,46973100,England and Wales
1963-02-01,2,28,67338,46973100,England and Wales
1963-03-01,3,31,78916,46973100,England and Wales
1963-04-01,4,30,73158,46973100,England and Wales
1963-05-01,5,31,76162,46973100,England and Wales
1963-06-01,6,30,71734,46973100,England and Wales
1963-07-01,7,31,72633,46973100,England and Wales
1963-08-01,8,31,70101,46973100,England and Wales
1963-09-01,9,30,69523,46973100,England and Wales
1963-10-01,10,31,69522,46973100,England and Wales
1963-11-01,11,30,64968,46973100,England and Wales
1963-12-01,12,31,67424,46973100,England and Wales
1964-01-01,1,31,72607,47324300,England and Wales
1964-02-01,2,29,71442,47324300,England and Wales
1964-03-01,3,31,78937,47324300,England and Wales
1964-04-01,4,30,75559,47324300,England and Wales
1964-05-01,5,31,76820,47324300,England and Wales
1964-06-01,6,30,73501,47324300,England and Wales
1964-07-01,7,31,75942,47324300,England and Wales
1964-08-01,8,31,71437,47324300,England and Wales
1964-09-01,9,30,72399,47324300,England and Wales
1964-10-01,10,31,70944,47324300,England and Wales
1964-11-01,11,30,66490,47324300,England and Wales
1964-12-01,12,31,69894,47324300,England and Wales
1965-01-01,1,31,71824,47671400,England and Wales
1965-02-01,2,28,68719,47671400,England and Wales
1965-03-01,3,31,78785,47671400,England and Wales
1965-04-01,4,30,73721,47671400,England and Wales
1965-05-01,5,31,74835,47671400,England and Wales
1965-06-01,6,30,72205,47671400,England and Wales
1965-07-01,7,31,74106,47671400,England and Wales
1965-08-01,8,31,71672,47671400,England and Wales
1965-09-01,9,30,71714,47671400,England and Wales
1965-10-01,10,31,70414,47671400,England and Wales
1965-11-01,11,30,66675,47671400,England and Wales
1965-12-01,12,31,68055,47671400,England and Wales
1966-01-01,1,31,71703,47966500,England and Wales
1966-02-01,2,28,67051,47966500,England and Wales
1966-03-01,3,31,77428,47966500,England and Wales
1966-04-01,4,30,71140,47966500,England and Wales
1966-05-01,5,31,73396,47966500,England and Wales
1966-06-01,6,30,70930,47966500,England and Wales
1966-07-01,7,31,73144,47966500,England and Wales
1966-08-01,8,31,71956,47966500,England and Wales
1966-09-01,9,30,71202,47966500,England and Wales
1966-10-01,10,31,69216,47966500,England and Wales
1966-11-01,11,30,63910,47966500,England and Wales
1966-12-01,12,31,68747,47966500,England and Wales
1967-01-01,1,31,70963,48271900,England and Wales
1967-02-01,2,28,67894,48271900,England and Wales
1967-03-01,3,31,77667,48271900,England and Wales
1967-04-01,4,30,71147,48271900,England and Wales
1967-05-01,5,31,73738,48271900,England and Wales
1967-06-01,6,30,68846,48271900,England and Wales
1967-07-01,7,31,69758,48271900,England and Wales
1967-08-01,8,31,68089,48271900,England and Wales
1967-09-01,9,30,68043,48271900,England and Wales
1967-10-01,10,31,66765,48271900,England and Wales
1967-11-01,11,30,62664,48271900,England and Wales
1967-12-01,12,31,66590,48271900,England and Wales
1968-01-01,1,31,68956,48510700,England and Wales
1968-02-01,2,29,66831,48510700,England and Wales
1968-03-01,3,31,74886,48510700,England and Wales
1968-04-01,4,30,69340,48510700,England and Wales
1968-05-01,5,31,72360,48510700,England and Wales
1968-06-01,6,30,68173,48510700,England and Wales
1968-07-01,7,31,69409,48510700,England and Wales
1968-08-01,8,31,69113,48510700,England and Wales
1968-09-01,9,30,65825,48510700,England and Wales
1968-10-01,10,31,66281,48510700,England and Wales
1968-11-01,11,30,62744,48510700,England and Wales
1968-12-01,12,31,65354,48510700,England and Wales
1969-01-01,1,31,70026,48738000,England and Wales
1969-02-01,2,28,64592,48738000,England and Wales
1969-03-01,3,31,75149,48738000,England and Wales
1969-04-01,4,30,69067,48738000,England and Wales
1969-05-01,5,31,70891,48738000,England and Wales
1969-06-01,6,30,66862,48738000,England and Wales
1969-07-01,7,31,66893,48738000,England and Wales
1969-08-01,8,31,65319,48738000,England and Wales
1969-09-01,9,30,64378,48738000,England and Wales
1969-10-01,10,31,64099,48738000,England and Wales
1969-11-01,11,30,59022,48738000,England and Wales
1969-12-01,12,31,61240,48738000,England and Wales
1970-01-01,1,31,64431,48891100,England and Wales
1970-02-01,2,28,61008,48891100,England and Wales
1970-03-01,3,31,70519,48891100,England and Wales
1970-04-01,4,30,66336,48891100,England and Wales
1970-05-01,5,31,68419,48891100,England and Wales
1970-06-01,6,30,65915,48891100,England and Wales
1970-07-01,7,31,67190,48891100,England and Wales
1970-08-01,8,31,64769,48891100,England and Wales
1970-09-01,9,30,63240,48891100,England and Wales
1970-10-01,10,31,63660,48891100,England and Wales
1970-11-01,11,30,62916,48891100,England and Wales
1970-12-01,12,31,66083,48891100,England and Wales
1971-01-01,1,31,67983,49152000,England and Wales
1971-02-01,2,28,63478,49152000,England and Wales
1971-03-01,3,31,72955,49152000,England and Wales
1971-04-01,4,30,67418,49152000,England and Wales
1971-05-01,5,31,69664,49152000,England and Wales
1971-06-01,6,30,65882,49152000,England and Wales
1971-07-01,7,31,67226,49152000,England and Wales
1971-08-01,8,31,62850,49152000,England and Wales
1971-09-01,9,30,63589,49152000,England and Wales
1971-10-01,10,31,63061,49152000,England and Wales
1971-11-01,11,30,59185,49152000,England and Wales
1971-12-01,12,31,59864,49152000,England and Wales
1972-01-01,1,31,61728,49327100,England and Wales
1972-02-01,2,29,59501,49327100,England and Wales
1972-03-01,3,31,66415,49327100,England and Wales
1972-04-01,4,30,60290,49327100,England and Wales
1972-05-01,5,31,63670,49327100,England and Wales
1972-06-01,6,30,61250,49327100,England and Wales
1972-07-01,7,31,62052,49327100,England and Wales
1972-08-01,8,31,60565,49327100,England and Wales
1972-09-01,9,30,59576,49327100,England and Wales
1972-10-01,10,31,57879,49327100,England and Wales
1972-11-01,11,30,55840,49327100,England and Wales
1972-12-01,12,31,56674,49327100,England and Wales
1973-01-01,1,31,57637,49459000,England and Wales
1973-02-01,2,28,54344,49459000,England and Wales
1973-03-01,3,31,63440,49459000,England and Wales
1973-04-01,4,30,56675,49459000,England and Wales
1973-05-01,5,31,59906,49459000,England and Wales
1973-06-01,6,30,57165,49459000,England and Wales
1973-07-01,7,31,57207,49459000,England and Wales
1973-08-01,8,31,55246,49459000,England and Wales
1973-09-01,9,30,53354,49459000,England and Wales
1973-10-01,10,31,55185,49459000,England and Wales
1973-11-01,11,30,52151,49459000,England and Wales
1973-12-01,12,31,53643,49459000,England and Wales
1974-01-01,1,31,55225,49467900,England and Wales
1974-02-01,2,28,49430,49467900,England and Wales
1974-03-01,3,31,57682,49467900,England and Wales
1974-04-01,4,30,53885,49467900,England and Wales
1974-05-01,5,31,56609,49467900,England and Wales
1974-06-01,6,30,52845,49467900,England and Wales
1974-07-01,7,31,55834,49467900,England and Wales
1974-08-01,8,31,54737,49467900,England and Wales
1974-09-01,9,30,53546,49467900,England and Wales
1974-10-01,10,31,53022,49467900,England and Wales
1974-11-01,11,30,48498,49467900,England and Wales
1974-12-01,12,31,48572,49467900,England and Wales
1975-01-01,1,31,52155,49469800,England and Wales
1975-02-01,2,28,47687,49469800,England and Wales
1975-03-01,3,31,54722,49469800,England and Wales
1975-04-01,4,30,51955,49469800,England and Wales
1975-05-01,5,31,53732,49469800,England and Wales
1975-06-01,6,30,50607,49469800,England and Wales
1975-07-01,7,31,52903,49469800,England and Wales
1975-08-01,8,31,50208,49469800,England and Wales
1975-09-01,9,30,49536,49469800,England and Wales
1975-10-01,10,31,48503,49469800,England and Wales
1975-11-01,11,30,44779,49469800,England and Wales
1975-12-01,12,31,46658,49469800,England and Wales
1976-01-01,1,31,48618,49459200,England and Wales
1976-02-01,2,29,48326,49459200,England and Wales
1976-03-01,3,31,54318,49459200,England and Wales
1976-04-01,4,30,49310,49459200,England and Wales
1976-05-01,5,31,50925,49459200,England and Wales
1976-06-01,6,30,50437,49459200,England and Wales
1976-07-01,7,31,49961,49459200,England and Wales
1976-08-01,8,31,48311,49459200,England and Wales
1976-09-01,9,30,48974,49459200,England and Wales
1976-10-01,10,31,46893,49459200,England and Wales
1976-11-01,11,30,43651,49459200,England and Wales
1976-12-01,12,31,44546,49459200,England and Wales
1977-01-01,1,31,46948,49440400,England and Wales
1977-02-01,2,28,43722,49440400,England and Wales
1977-03-01,3,31,49749,49440400,England and Wales
1977-04-01,4,30,46340,49440400,England and Wales
1977-05-01,5,31,50731,49440400,England and Wales
1977-06-01,6,30,47791,49440400,England and Wales
1977-07-01,7,31,48818,49440400,England and Wales
1977-08-01,8,31,48374,49440400,England and Wales
1977-09-01,9,30,49390,49440400,England and Wales
1977-10-01,10,31,48189,49440400,England and Wales
1977-11-01,11,30,44491,49440400,England and Wales
1977-12-01,12,31,44716,49440400,England and Wales
1978-01-01,1,31,46553,49442500,England and Wales
1978-02-01,2,28,44300,49442500,England and Wales
1978-03-01,3,31,51527,49442500,England and Wales
1978-04-01,4,30,48776,49442500,England and Wales
1978-05-01,5,31,51121,49442500,England and Wales
1978-06-01,6,30,49375,49442500,England and Wales
1978-07-01,7,31,50600,49442500,England and Wales
1978-08-01,8,31,51296,49442500,England and Wales
1978-09-01,9,30,52691,49442500,England and Wales
1978-10-01,10,31,51554,49442500,England and Wales
1978-11-01,11,30,48380,49442500,England and Wales
1978-12-01,12,31,50245,49442500,England and Wales
1979-01-01,1,31,51402,49508200,England and Wales
1979-02-01,2,28,48553,49508200,England and Wales
1979-03-01,3,31,56224,49508200,England and Wales
1979-04-01,4,30,53405,49508200,England and Wales
1979-05-01,5,31,56835,49508200,England and Wales
1979-06-01,6,30,54535,49508200,England and Wales
1979-07-01,7,31,55615,49508200,England and Wales
1979-08-01,8,31,53669,49508200,England and Wales
1979-09-01,9,30,52862,49508200,England and Wales
1979-10-01,10,31,53654,49508200,England and Wales
1979-11-01,11,30,50770,49508200,England and Wales
1979-12-01,12,31,50504,49508200,England and Wales
1980-01-01,1,31,54407,49603000,England and Wales
1980-02-01,2,29,51509,49603000,England and Wales
1980-03-01,3,31,56418,49603000,England and Wales
1980-04-01,4,30,55540,49603000,England and Wales
1980-05-01,5,31,57849,49603000,England and Wales
1980-06-01,6,30,54745,49603000,England and Wales
1980-07-01,7,31,57938,49603000,England and Wales
1980-08-01,8,31,54805,49603000,England and Wales
1980-09-01,9,30,55579,49603000,England and Wales
1980-10-01,10,31,55359,49603000,England and Wales
1980-11-01,11,30,50468,49603000,England and Wales
1980-12-01,12,31,51617,49603000,England and Wales
1981-01-01,1,31,52735,49634300,England and Wales
1981-02-01,2,28,48460,49634300,England and Wales
1981-03-01,3,31,55041,49634300,England and Wales
1981-04-01,4,30,52807,49634300,England and Wales
1981-05-01,5,31,54663,49634300,England and Wales
1981-06-01,6,30,53367,49634300,England and Wales
1981-07-01,7,31,56487,49634300,England and Wales
1981-08-01,8,31,54236,49634300,England and Wales
1981-09-01,9,30,53559,49634300,England and Wales
1981-10-01,10,31,53233,49634300,England and Wales
1981-11-01,11,30,49866,49634300,England and Wales
1981-12-01,12,31,50038,49634300,England and Wales
1982-01-01,1,31,51513,49581626,England and Wales
1982-02-01,2,28,47655,49581626,England and Wales
1982-03-01,3,31,54274,49581626,England and Wales
1982-04-01,4,30,52248,49581626,England and Wales
1982-05-01,5,31,53794,49581626,England and Wales
