date,sp500,monbase,sp500_i,monbase_i
2009-03-11,696.68,1542228,100,100
2009-03-18,766.73,1693133,110.05483148647875,109.78486968204442
2009-03-25,799.1,1693133,114.70115404489867,109.78486968204442
2009-04-01,809.06,1733017,116.13079175518173,112.37099832190832
2009-04-08,830.61,1733017,119.22403398978012,112.37099832190832
2009-04-15,852.21,1789878,122.32445312051445,116.05793695873763
2009-04-22,852.18,1789878,122.32014698283287,116.05793695873763
2009-04-29,860.89,1709369,123.57036228971694,110.83763230858213
2009-05-06,896.18,1709369,128.6358155824769,110.83763230858213
2009-05-13,907.63,1805373,130.27932479761154,117.06265221484762
2009-05-20,899.45,1805373,129.10518458976864,117.06265221484762
2009-05-27,894.68,1772436,128.42050869839812,114.92697577790054
2009-06-03,929.07,1772436,133.3567778607108,114.92697577790054
2009-06-10,940.65,1722716,135.01894700579894,111.70306854758181
2009-06-17,927.5,1722716,133.13142332204168,111.70306854758181
2009-06-24,905.74,1621214,130.00803812367226,105.12155141781889
2009-07-01,921.81,1621214,132.31469254176952,105.12155141781889
2009-07-08,888.93,1682217,127.59516564276281,109.07706253550057
2009-07-15,900.28,1682217,129.22432106562553,109.07706253550057
2009-07-22,948.18,1672288,136.09978756387437,108.43325370827142
2009-07-29,978.5,1672288,140.45185738071999,108.43325370827142
2009-08-05,997.05,1648636,143.11448584716084,106.89962832992268
2009-08-12,1002.96,1648636,143.96279497043122,106.89962832992268
2009-08-19,996.54,1744441,143.04128150657405,113.11174482631621
2009-08-26,1023.04,1744441,146.8450364586324,113.11174482631621
2009-09-02,1014.66,1765635,145.64218866624563,114.48599039830687
2009-09-09,1019.6,1765635,146.3512660044784,114.48599039830687
2009-09-16,1051.52,1795581,150.93299649767468,116.42772663964082
2009-09-23,1066.2,1795581,153.04013320319228,116.42772663964082
2009-09-30,1055.17,1858017,151.45690991559974,120.4761552766517
2009-10-07,1041.56,1858017,149.50335878739162,120.4761552766517
2009-10-14,1075.67,1927828,154.39943733134297,125.00278817399244
2009-10-21,1090.92,1927828,156.5883906528105,125.00278817399244
2009-10-28,1069.1,2003003,153.4563931790779,129.8772295665751
2009-11-04,1047.42,2003003,150.34449101452606,129.8772295665751
2009-11-11,1084.11,1989940,155.61089739909283,129.0302082441766
2009-11-18,1102.03,1989940,158.1830969742206,129.0302082441766
2009-11-25,1101.76,2072256,158.1443417350864,134.36768104326987
2009-12-02,1101.31,2072256,158.0797496698628,134.36768104326987
2009-12-09,1099.41,2036838,157.80702761669636,132.07113345108505
2009-12-16,1108,2036838,159.04001837285412,132.07113345108505
2009-12-23,1110.24,2014212,159.36154331974507,130.60403520102085
2009-12-30,1126.72,2014212,161.7270482861572,130.60403520102085
2010-01-06,1130.44,1953607,162.2610093586726,126.67433090308306
2010-01-13,1143.11,1953607,164.0796348395246,126.67433090308306
2010-01-20,1143.19,2013108,164.09111787334217,130.5324504547966
2010-01-27,1098.94,2013108,157.73956479301833,130.5324504547966
2010-02-03,1089.64,2065854,156.40466211172995,133.95256732467573
2010-02-10,1064.94,2065854,152.85927542056615,133.95256732467573
2010-02-17,1087.09,2148684,156.038640408796,139.32336852916688
2010-02-24,1104.75,2148684,158.57352012401677,139.32336852916688
2010-03-03,1112.05,2121248,159.6213469598668,137.54438383948417
2010-03-10,1137.25,2121248,163.23850261239022,137.54438383948417
2010-03-17,1155.28,2062102,165.82649135901707,133.70928293352216
2010-03-24,1166.69,2062102,167.46425905724294,133.70928293352216
2010-03-31,1169.65,2055062,167.88913130849173,133.25280049383102
2010-04-07,1184.36,2055062,170.00057415169087,133.25280049383102
2010-04-14,1197.05,2019074,171.8220703909973,130.91929338593255
2010-04-21,1202.89,2019074,172.66033185967734,130.91929338593255
2010-04-28,1202.61,1975669,172.62014124131596,128.10485868496747
2010-05-05,1187.05,1975669,170.3866911638055,128.10485868496747
2010-05-12,1145.24,2019397,164.38537061491647,130.94023711150362
2010-05-19,1133.18,2019397,162.65430326692314,130.94023711150362
2010-05-26,1074.98,2019365,154.30039616466672,130.9381621913232
2010-06-02,1090.39,2019365,156.51231555376933,130.9381621913232
2010-06-09,1067.17,2007579,153.1793649882299,130.17394315237436
2010-06-16,1099.58,2007579,157.8314290635586,130.17394315237436
2010-06-23,1106.82,1994868,158.87064362404547,129.34974595196041
2010-06-30,1059.39,1994868,152.0626399494747,129.34974595196041
2010-07-07,1034.57,2002137,148.50002870758453,129.82107703919266
2010-07-14,1083.49,2002137,155.52190388700694,129.82107703919266
2010-07-21,1077.14,1985912,154.61043807774018,128.76902766646697
2010-07-28,1106.26,1985912,158.79026238732274,128.76902766646697
2010-08-04,1115.34,1996856,160.0935867256129,129.47865036816864
2010-08-11,1117.15,1996856,160.35339036573467,129.47865036816864
2010-08-18,1085.79,1994404,155.85204110926108,129.3196596093444
2010-08-25,1064.38,1994404,152.77889418384342,129.3196596093444
2010-09-01,1058.07,1986085,151.87316989148533,128.78024520369232
2010-09-08,1096.33,1986085,157.36493081472125,128.78024520369232
2010-09-15,1116.36,1955295,160.23999540678645,126.78378294259993
2010-09-22,1133.4,1955295,162.68588160992138,126.78378294259993
2010-09-29,1141.62,1946749,163.86576333467303,126.22964957191802
2010-10-06,1149.04,1946749,164.93081472124936,126.22964957191802
2010-10-13,1167.28,1966965,167.54894643164724,127.54048039589476
2010-10-20,1175.76,1966965,168.76614801630592,127.54048039589476
2010-10-27,1183.41,1963211,169.86421312510768,127.29706632222992
2010-11-03,1188.59,1963211,170.60773956479304,127.29706632222992
2010-11-10,1220.45,1963334,175.1808577826262,127.3050417966734
2010-11-17,1193.49,1963334,171.31107538611704,127.3050417966734
2010-11-24,1194.67,1985990,171.4804501349257,128.77408528440674
2010-12-01,1190.95,1985990,170.9464890624103,128.77408528440674
2010-12-08,1224.28,2031954,175.73060802664065,131.7544487585493
2010-12-15,1238.14,2031954,177.72004363552853,131.7544487585493
2010-12-22,1249.46,2004294,179.34489292070967,129.96093962760372
2010-12-29,1258.15,2004294,180.59223746913938,129.96093962760372
2011-01-05,1266.83,2016770,181.83814663834187,130.76989913294273
2011-01-12,1275.11,2016770,183.02664063845668,130.76989913294273
2011-01-19,1288.49,2054422,184.94717804443937,133.21130209022272
2011-01-26,1288.45,2054422,184.94143652753058,133.21130209022272
2011-02-02,1294.72,2104460,185.84141930297986,136.4558288398343
2011-02-09,1316.49,2104460,188.96623988057647,136.4558288398343
2011-02-16,1329.53,2239602,190.83797439283458,145.21860580925778
2011-02-23,1326.57,2239602,190.41310214158582,145.21860580925778
2011-03-02,1313.59,2326078,188.54997990469082,150.8258182318049
2011-03-09,1320.82,2326078,189.58775908595052,150.8258182318049
2011-03-16,1286.91,2397924,184.72038812654304,155.48440308436884
2011-03-23,1288.52,2397924,184.95148418212094,155.48440308436884
2011-03-30,1316.27,2468699,188.93466153757822,160.07354295214455
2011-04-06,1331.86,2468699,191.1724177527703,160.07354295214455
2011-04-13,1322.94,2516991,189.8920594821152,163.2048568694123
2011-04-20,1316.46,2516991,188.9619337428949,163.2048568694123
2011-04-27,1343.88,2484716,192.89774358385486,161.11210534369755
2011-05-04,1357.85,2484716,194.90296836424184,161.11210534369755
2011-05-11,1344.17,2551840,192.93936958144343,165.46450978713915
2011-05-18,1337.11,2551840,191.925991847046,165.46450978713915
2011-05-25,1326.2,2609086,190.35999311017972,169.17641230738906
2011-06-01,1329.14,2609086,190.78199460297412,169.17641230738906
2011-06-08,1292.75,2666626,185.55864959522307,172.90737815679654
2011-06-15,1277.02,2666626,183.30079807085033,172.90737815679654
2011-06-22,1280.03,2629738,183.73284721823507,170.51551391882393
2011-06-29,1287.23,2629738,184.76632026181318,170.51551391882393
2011-07-06,1334.35,2698259,191.52982718034104,174.95850159639173
2011-07-13,1329.57,2698259,190.84371590974337,174.95850159639173
2011-07-20,1316.6,2675877,188.98202905207555,173.50722461270317
2011-07-27,1332.62,2675877,191.28150657403685,173.50722461270317
2011-08-03,1278.86,2672301,183.5649078486536,173.27535228254186
2011-08-10,1162.44,2672301,166.8542228856864,173.27535228254186
2011-08-17,1188.52,2648963,170.59769191020268,171.76208705846346
2011-08-24,1145.59,2648963,164.43560888786817,171.76208705846346
2011-08-31,1195.59,2654221,171.6125050238273,172.1030223806078
2011-09-07,1185.56,2654221,170.1728196589539,172.1030223806078
2011-09-14,1172.79,2634075,168.33984038582994,170.7967304445257
2011-09-21,1199.61,2634075,172.18952747315842,170.7967304445257
2011-09-28,1151.08,2630423,165.2236320835965,170.55993017893593
2011-10-05,1131.81,2630423,162.45765631279784,170.55993017893593
2011-10-12,1183.62,2658741,169.89435608887868,172.3961048560913
2011-10-19,1212.87,2658741,174.09284032841475,172.3961048560913
2011-10-26,1235.78,2616333,177.38129413791123,169.64631688699725
2011-11-02,1255.83,2616333,180.25922948843086,169.64631688699725
2011-11-09,1256.1,2633476,180.29798472756502,170.7578905323986
2011-11-16,1250.01,2633476,179.4238387782052,170.7578905323986
2011-11-23,1194.92,2575806,171.51633461560547,167.01849531975816
2011-11-30,1198.34,2575806,172.00723431130504,167.01849531975816
2011-12-07,1253.08,2639406,179.8645002009531,171.1423991783316
2011-12-14,1232.71,2639406,176.94063271516336,171.1423991783316
2011-12-21,1225.16,2594558,175.85692139863355,168.23439854548096
2011-12-28,1258.6,2594558,180.65682953436297,168.23439854548096
2012-01-04,1268.75,2643893,182.1137394499627,171.43334189237908
2012-01-11,1284.83,2643893,184.42182924728715,171.43334189237908
2012-01-18,1296.58,2630313,186.10839983923753,170.55279764081575
2012-01-25,1317.32,2630313,189.08537635643336,170.55279764081575
2012-02-01,1316.85,2659417,189.01791353275536,172.43993754490256
2012-02-08,1342.36,2659417,192.6795659413217,172.43993754490256
2012-02-15,1348.02,2715207,193.4919905839123,176.05743119694364
2012-02-22,1359.79,2715207,195.18143193431706,176.05743119694364
2012-02-29,1366.93,2692860,196.20629270253204,174.60842365720245
2012-03-07,1360.81,2692860,195.32784061549063,174.60842365720245
2012-03-14,1379.62,2648997,198.02778894183842,171.76429166115517
2012-03-21,1404.99,2648997,201.66934604122412,171.76429166115517
2012-03-28,1404.89,2637582,201.6549922489522,171.024128728048
2012-04-04,1408.63,2637582,202.19182407992196,171.024128728048
2012-04-11,1376.9,2659405,197.63736579204226,172.43915944983493
2012-04-18,1380.66,2659405,198.1770683814664,172.43915944983493
2012-04-25,1377.01,2617791,197.6531549635414,169.74085543771739
2012-05-02,1401.88,2617791,201.22294310156747,169.74085543771739
2012-05-09,1369.71,2604299,196.60532812769137,168.8660172166502
2012-05-16,1341.04,2604299,192.4900958833324,168.8660172166502
2012-05-23,1310.31,2626106,188.0791755181719,170.28001047834692
2012-05-30,1321.06,2626106,189.62220818740312,170.28001047834692
2012-06-06,1293.44,2649540,185.65769076189932,171.79950046296656
2012-06-13,1317.73,2649540,189.14422690474825,171.79950046296656
2012-06-20,1346.08,2588939,193.21352701383705,167.87005553005133
2012-06-27,1325.22,2588939,190.21932594591493,167.87005553005133
2012-07-04,1357.68,2624495,194.8785669173796,170.1755512155142
2012-07-11,1351.53,2624495,193.9958086926566,170.1755512155142
2012-07-18,1356.33,2656001,194.68479072170868,172.21843981564334
2012-07-25,1353.18,2656001,194.23264626514327,172.21843981564334
2012-08-01,1377.15,2671140,197.6732502727221,173.2000715847462
2012-08-08,1390.76,2671140,199.62680140093013,173.2000715847462
2012-08-15,1404.45,2650077,201.59183556295574,171.83432021724414
2012-08-22,1415.69,2650077,203.20520181431937,171.83432021724414
2012-08-29,1408.69,2633671,202.2004363552851,170.770534577248
2012-09-05,1403.61,2633671,201.47126370787163,170.770534577248
2012-09-12,1433.85,2605483,205.81185049089973,168.94278926332552
2012-09-19,1461.46,2605483,209.77493253717637,168.94278926332552
2012-09-26,1450.44,2563834,208.19314462881096,166.24221580726066
2012-10-03,1445.81,2563834,207.5285640466211,166.24221580726066
2012-10-10,1450.45,2612388,208.19458000803817,169.39051813350554
2012-10-17,1443.48,2612388,207.19412068668547,169.39051813350554
2012-10-24,1429.24,2621436,205.15014066716427,169.97720181451768
2012-10-31,1412.36,2621436,202.72722053166444,169.97720181451768
2012-11-07,1416.39,2643177,203.30567836022283,171.3869155533423
2012-11-14,1373.48,2643177,197.14646609634266,171.3869155533423
2012-11-21,1375.79,2646209,197.47803869782396,171.58351424043656
2012-11-28,1406.08,2646209,201.825802376988,171.58351424043656
2012-12-05,1411.58,2676435,202.6152609519435,173.54340603334916
2012-12-12,1421.38,2676435,204.0219325945915,173.54340603334916
2012-12-19,1429.2,2670477,205.1443991502555,173.15708183225826
2012-12-26,1430.08,2670477,205.27071252224837,173.15708183225826
2013-01-02,1427.29,2690080,204.8702417178619,174.42816496652895
2013-01-09,1461.18,2690080,209.73474191881496,174.42816496652895
2013-01-16,1471.96,2741803,211.28208072572775,177.78194923189048
2013-01-23,1488.57,2741803,213.66624562209338,177.78194923189048
2013-01-30,1501.55,2799758,215.52936785898837,181.53982420238773
2013-02-06,1506.08,2799758,216.17959464890623,181.53982420238773
2013-02-13,1516.82,2840988,217.7211919389103,184.21322917234028
2013-02-20,1521.02,2840988,218.32405121433084,184.21322917234028
2013-02-27,1503.76,2886833,215.84658666819774,187.18587653706194
2013-03-06,1527.87,2886833,219.30728598495725,187.18587653706194
2013-03-13,1551.73,2932071,222.7321008210369,190.1191652596114
2013-03-20,1556.62,2932071,223.43400126313372,190.1191652596114
2013-03-27,1556.2,2965102,223.3737153355917,192.26093677458843
2013-04-03,1563.83,2965102,224.46890968593905,192.26093677458843
2013-04-10,1566.53,3028362,224.85646207728084,196.362794606245
2013-04-17,1572.23,3028362,225.67462823678017,196.362794606245
2013-04-24,1563.39,3004595,224.40575299994262,194.82171248349792
2013-05-01,1588.26,3004595,227.97554113796866,194.82171248349792
2013-05-08,1617.63,3069217,232.1912499282311,199.01188410533334
2013-05-15,1640.65,3069217,235.49549290922664,199.01188410533334
2013-05-22,1661.75,3158707,238.52414307860136,204.8145280723732
2013-05-29,1652.13,3158707,237.1433082620429,204.8145280723732
2013-06-05,1633.17,3214686,234.42182924728715,208.44427672172986
2013-06-12,1629.48,3214686,233.89217431245334,208.44427672172986
2013-06-19,1636.57,3177550,234.90985818453237,206.03633185235904
2013-06-26,1589,3177550,228.08175920078085,206.03633185235904
2013-07-03,1612.79,3245562,231.49652638227022,210.44631533080712
2013-07-10,1644.32,3245562,236.02227708560602,210.44631533080712
2013-07-17,1678.98,3288934,240.9973014870529,213.25861027033616
2013-07-24,1691.06,3288934,242.73123959350062,213.25861027033616
2013-07-31,1687.78,3359591,242.2604352069817,217.8400988699466
2013-08-07,1702.39,3359591,244.35752425790898,217.8400988699466
2013-08-14,1691.58,3383104,242.8058793133146,219.36471131376166
2013-08-21,1651.67,3383104,237.07728081759205,219.36471131376166
2013-08-28,1648.54,3448625,236.62800711948097,223.61317522441558
2013-09-04,1641,3448625,235.54573118217834,223.61317522441558
2013-09-11,1671.02,3485902,239.8547396222082,226.03026271083135
2013-09-18,1699.86,3485902,243.9943733134294,226.03026271083135
2013-09-25,1704.86,3500874,244.71206292702533,227.0010659902427
2013-10-02,1692.17,3500874,242.89056668771894,227.0010659902427
2013-10-09,1671.43,3578578,239.91359017052307,232.03949091833374
2013-10-16,1705.1,3578578,244.74651202847792,232.03949091833374
2013-10-23,1744.67,3607699,250.42630763047603,233.92773312376642
2013-10-30,1761.84,3607699,252.89085376356434,233.92773312376642
2013-11-06,1763.91,3665340,253.18797726359307,237.66524793999332
2013-11-13,1767.87,3665340,253.75638743756102,237.66524793999332
2013-11-20,1789.91,3691369,256.9199632542918,239.35300098299342
2013-11-27,1802.61,3691369,258.74289487282545,239.35300098299342
2013-12-04,1798.67,3736105,258.1773554573119,242.25373939521262
2013-12-11,1796.67,3736105,257.8902796118735,242.25373939521262
2013-12-18,1785.8,3730512,256.330022391916,241.8910822524296
2013-12-25,1822.31,3730512,261.5705919503933,241.8910822524296
2014-01-01,1843.21,3652774,264.5705345352242,236.85045272164683
2014-01-08,1833.1,3652774,263.1193661365333,236.85045272164683
2014-01-15,1837.39,3753108,263.7351438249986,243.35623526482465
2014-01-22,1843.31,3753108,264.5848883274961,243.35623526482465
2014-01-29,1793.4,3757474,257.42091060458176,243.63933218693995
2014-02-05,1765.1,3757474,253.35878739162888,243.63933218693995
2014-02-12,1801.86,3839563,258.63524143078604,248.9620860210034
2014-02-19,1834.49,3839563,263.3188838491129,248.9620860210034
2014-02-26,1842.78,3865853,264.508813228455,250.66676263172502
2014-03-05,1861.44,3865853,267.1872308663949,250.66676263172502
2014-03-12,1873.61,3911099,268.9340873858874,253.60057008431957
2014-03-19,1855.86,3911099,266.38628925762185,253.60057008431957
2014-03-26,1862.83,3864796,267.38674857897456,250.59822542451568
2014-04-02,1871.08,3864796,268.5709364414078,250.59822542451568
2014-04-09,1864.61,3975116,267.6422460814147,257.75151274649403
2014-04-16,1836.93,3975116,263.66911638054773,257.75151274649403
2014-04-23,1872.92,3895660,268.83504621921116,252.5994859385253
2014-04-30,1874.74,3895660,269.0962852385601,252.5994859385253
2014-05-07,1879.08,3888168,269.7192398231613,252.11369525128583
2014-05-14,1887.35,3888168,270.90629844404896,252.11369525128583
2014-05-21,1878.93,3921421,269.69770913475344,254.26986152501448
2014-05-28,1903.68,3921421,273.2502727220532,254.26986152501448
2014-06-04,1924.14,3974339,276.1870586208877,257.7011310908634
2014-06-11,1947.17,3974339,279.49273698111045,257.7011310908634
2014-06-18,1940.6,3950816,278.54969282884537,256.1758702344919
2014-06-25,1958.89,3950816,281.1750014353793,256.1758702344919
2014-07-02,1965.27,3886317,282.09077338232765,251.99367408709998
2014-07-09,1974.91,3886317,283.4744789573405,251.99367408709998
2014-07-16,1972.84,4000589,283.1773554573118,259.40321405135944
2014-07-23,1976.1,4000589,283.64528908537636,259.40321405135944
2014-07-30,1977.05,4084563,283.7816501119596,264.84819365230044
2014-08-06,1927.05,4084563,276.60475397600044,264.84819365230044
2014-08-13,1931.71,4076179,277.2736406958719,264.3045645650319
2014-08-20,1970.02,4076179,282.7725785152437,264.3045645650319
2014-08-27,1995.77,4068394,286.4686800252627,263.79977538989044
2014-09-03,2000.78,4068394,287.1878050180858,263.79977538989044
2014-09-10,1998.21,4083445,286.8189125566975,264.7757011284972
2014-09-17,1993.53,4083445,286.1471550783717,264.7757011284972
2014-09-24,1999.42,4007866,286.99259344318773,259.8750638686368
2014-10-01,1969.02,4007866,282.6290405925246,259.8750638686368
2014-10-08,1956.58,4065049,280.843428833898,263.58288138978156
2014-10-15,1889.85,4065049,271.26514325084685,263.58288138978156
2014-10-22,1904.38,3956014,273.35074926795664,256.512915081298
2014-10-29,1968.88,3956014,282.60894528334387,256.512915081298
2014-11-05,2013.24,3871127,288.9762875351668,251.00873541395953
2014-11-12,2035.86,3871127,292.2231153470747,251.00873541395953
2014-11-19,2044.2,3815811,293.42022162255273,247.42197651709085
2014-11-26,2065.1,3815811,296.4201642073836,247.42197651709085
2014-12-03,2065.47,3759465,296.47327323878966,243.7684311269151
2014-12-10,2058.71,3759465,295.50295688120804,243.7684311269151
2014-12-17,2002.58,4062165,287.4461732789803,263.3958792085217
2014-12-24,2074.89,4062165,297.82540047080437,263.3958792085217
2014-12-31,2079.65,3929023,298.5086409829477,254.76278475037412
2015-01-07,2026.82,3929023,290.9255325256933,254.76278475037412
2015-01-14,2033.9,4069967,291.94178101854516,263.90177068500896
2015-01-21,2016.69,4069967,289.471493368548,263.90177068500896
2015-01-28,2040.75,4004751,292.92501578917154,259.6730833573246
2015-02-04,2025.73,4004751,290.7690761899294,259.6730833573246
2015-02-11,2060.37,3839250,295.7412298329219,248.94179070798873
2015-02-18,2096.37,3839250,300.90859505081244,248.94179070798873
2015-02-25,2109.35,3776450,302.7717172877074,244.86975985392561
2015-03-04,2107.79,3776450,302.5477981282655,244.86975985392561
2015-03-11,2067.23,4090919,296.72589998277545,265.26032467313524
2015-03-18,2074.86,4090919,297.82109433312286,265.26032467313524
2015-03-25,2090.87,4043919,300.1191364758569,262.2127856581517
2015-04-01,2066.2,4043919,296.5780559223747,262.2127856581517
2015-04-08,2076.45,4130472,298.0493196302463,267.82499085738294
2015-04-15,2097.63,4130472,301.08945283343866,267.82499085738294
2015-04-22,2098.36,3995751,301.19423551702363,259.0895120565831
2015-04-29,2112.23,3995751,303.1851065051387,259.0895120565831
2015-05-06,2095.58,3970194,300.7952000918643,257.43236408624404
2015-05-13,2101.41,3970194,301.6320261813171,257.43236408624404
2015-05-20,2125.34,3939260,305.06688867198716,255.4265646843398
2015-05-27,2121.14,3939260,304.46402939656656,255.4265646843398
2015-06-03,2112.72,3917095,303.25544008727104,253.9893582531247
2015-06-10,2090.66,3917095,300.0889935120859,253.9893582531247
2015-06-17,2096.83,3940559,300.9746224952633,255.5107934754135
2015-06-24,2117.37,3940559,303.92289142791526,255.5107934754135
2015-07-01,2080.39,3875112,298.6148590457599,251.26712781767674
2015-07-08,2068.39,3875112,296.8924039731297,251.26712781767674
2015-07-15,2088.78,3995944,299.8191422173739,259.10202641892124
2015-07-22,2122.51,3995944,304.6606763506919,259.10202641892124
2015-07-29,2090.25,3983633,300.0301429637711,258.30376572076244
2015-08-05,2100.73,3983633,301.53442039386806,258.30376572076244
2015-08-12,2087.09,3919165,299.57656312797843,254.12357965229523
2015-08-19,2090.78,3919165,300.1062180628122,254.12357965229523
2015-08-26,1941.59,4059649,278.69179537233737,263.23273860933665
2015-09-02,1962.28,4059649,281.6615949933973,263.23273860933665
2015-09-09,1945.95,4099416,279.31762071539305,265.8112808222909
2015-09-16,1967.95,4099416,282.47545501521506,265.8112808222909
2015-09-23,1959.34,3952964,281.23959350060284,256.31514925160224
2015-09-30,1909.89,3952964,274.14164322213935,256.31514925160224
2015-10-07,1967.6,4055655,282.42521674226333,262.9737626343187
2015-10-14,2008.74,4055655,288.3303668829305,262.9737626343187
2015-10-21,2028.07,4067586,291.1049549290923,263.747383655335
2015-10-28,2071.02,4067586,297.2699087098812,263.747383655335
2015-11-04,2096.98,4049390,300.99615318367114,262.56753216774695
2015-11-11,2086.89,4049390,299.5478555434346,262.56753216774695
2015-11-18,2051.24,3999625,294.4307285984957,259.34070708092446
2015-11-25,2087,3999625,299.5636447149337,259.34070708092446
2015-12-02,2088.17,3932441,299.7315840845152,254.98441216214465
2015-12-09,2065.92,3932441,296.53786530401334,254.98441216214465
2015-12-16,2040.6,3886716,292.90348510076365,252.01954574809952
2015-12-23,2034.37,3886716,292.00924384222316,252.01954574809952
2015-12-30,2064.8,3637975,296.3771028305679,235.89086697946087
2016-01-06,2015.89,3637975,289.35666303037266,235.89086697946087
